	University	Pedestrian	Neighbourhood	City	County	State	Country	Country_code	Road	Postcode	Footway	Suburb	Address29	Cycleway	Clothes	House_number	Hamlet	School	Town	Locality	Parking	Hospital	Village	Museum	College	Park	Convenience	Library	Attraction	Residential	Bicycle_parking	Building	City_district	Industrial	Commercial	Station	University	Subject	Stipend	LW Ratio	Academic Year	Program Year
44	Kansas State University			Manhattan	Riley County	Kansas	USA	us	Denison Avenue	66506																											Kansas State University 	Sensory Science	18980	0.86	2019-2020	1st
45	University of Iowa			Iowa City	Johnson County	Iowa	USA	us	Hawkeye Court	52246																											University of Iowa 	Molecular Medicine	30000	1.35	2019-2020	3rd
46	University of Central Florida				Orange County	Florida	USA	us	Libra Drive	32816							University Park																				University of Central Florida 	Optics	40000	1.73	2018-2019	3rd
47				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	English	23800	1.08	2018-2019	1st
48	UTEP			El Paso	El Paso County	Texas	USA	us	Hawthorne Street	79968																											University of Texas - El Paso 	Computational Science	14100	0.67	2018-2019	1st
49	Thomas Jefferson University		Chinatown	Philadelphia	Philadelphia County	Pennsylvania	USA	us	South 10th Street	19107																											Thomas Jefferson University	Imnunology	30000	1.24	2018-2019	1st
50	Northwestern University		Downtown	Evanston	Cook County	Illinois	USA	us	Haven Street	60201																											Northwestern University 	Psychology	2737	0.11	2019-2020	1st
51	Harvard University		Old Cambridge		Middlesex County	Massachusetts	USA	us	John F. Kennedy Street	02163									Cambridge																		Harvard University 	Physics	90	0.0	2018-2019	6th and up
52	MSU			Bozeman	Gallatin County	Montana	USA	us	West Lincoln Street	59715																											Montana State University 	Physics	21840	1.04	2018-2019	3rd
53	University of Southern California	Watt Way	Adams Normandie Historic District	LA	Los Angeles County	California	USA	us		90089		Saint James Park																									University of Southern California 	Mathematics	33000	1.28	2019-2020	3rd
54	University of Southern California	Watt Way	Adams Normandie Historic District	LA	Los Angeles County	California	USA	us		90089		Saint James Park																									University of Southern California 	Mathematics	32952	1.27	2019-2020	3rd
55	University of Virginia			Charlottesville		Virginia	USA	us	Emmet Street North	22901																											University of Virginia 	History	20000	0.88	2018-2019	4th
56	UCSD		University Center	San Diego	San Diego County	California	USA	us	Gilman Drive	92093		Torrey Pines				9500																					University of California - San Diego 	Public Health	31602	1.19	2019-2020	1st
57	Clemson University				Pickens County	South Carolina	USA	us	Old Stadium Road	29631							Clemson Heights																				Clemson University 	Civil Engineering	1064	0.05	2019-2020	1st
58	Oklahoma State University			Stillwater	Payne County	Oklahoma	USA	us	West McElroy Road	74075																											Oklahoma State University 	Biosystems and Agricultural Engineering	15600	0.8	2018-2019	1st
59	Oklahoma State University			Stillwater	Payne County	Oklahoma	USA	us	West McElroy Road	74075																											Oklahoma State University 	Biosystems and Agricultural Engineering	1300	0.07	2018-2019	1st
60	Oklahoma State University			Stillwater	Payne County	Oklahoma	USA	us	West McElroy Road	74075																											Oklahoma State University 	Biosystems and Agricultural Engineering	1300	0.07	2018-2019	1st
61	The Ohio State University		Riverview	Columbus	Franklin County	Ohio	USA	us	W Lane Ave	43221																											Ohio State University 	School of Communication	25566	1.27	2019-2020	1st
62	Wesleyan University			Middletown	Middlesex County	Connecticut	USA	us	Wyllys Avenue	06459																											Wesleyan University	Earth and Environmental Sciences	33586	1.33	2019-2020	1st
63	Georgia Tech	Atlantic Drive Northwest	Bellwood	Atlanta	Fulton County	Georgia	USA	us		30318		Rockdale																									Georgia Institute of Technology 	Bioinformatics	27000	1.16	2019-2020	1st
64	University of Wisconsin-Madison		Oakland Heights	Madison	Dane County	Wisconsin	USA	us		53726				Howard Temin Lakeshore Path																							University of Wisconsin - Madison 	Pharmaceutical Sciences	19000	0.83	2019-2020	1st
65			Washington Hill	Baltimore		Maryland	USA	us	Orleans Street	21287						1800						Johns Hopkins Hospital															Johns Hopkins University 	Cell, Molecular, Developmental Biology, and Biophysics (CMDB)	32894	1.28	2018-2019	5th
66	Washington University in St. Louis		Fountain Park	Saint Louis	City of Saint Louis	Missouri	United States of America	us		63112-0040				Wheels Path																							Washington University in St. Louis 	Psychology	26200	1.27	2019-2020	1st
67	The Ohio State University		Riverview	Columbus	Franklin County	Ohio	USA	us	W Lane Ave	43221																											Ohio State University 	Entomology	18000	0.9	2019-2020	1st
68	CUNY Graduate School and University Center			NYC	New York County	New York	USA	us	5th Avenue	10016		Manhattan				365																					CUNY Graduate School and University Center	Biochemistry 	7250	0.24	2018-2019	2nd
69	Cornell University				Ithaca Town	New York	USA	us	Forest Home Drive	14853										Forest Home																	Cornell University 	CS PhD	30000	1.24	2018-2019	1st
70	The Ohio State University		Riverview	Columbus	Franklin County	Ohio	USA	us	W Lane Ave	43221																											Ohio State University 	Entomology	18000	0.9	2019-2020	1st
71					Grafton County	New Hampshire	USA	us	Tuck Mall	03755								Dartmouth College	Hanover																		Dartmouth College	Physics and Astronomy	29542	1.19	2018-2019	1st
72	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	Biological and Biomedical Sciences Program	31800	1.43	2018-2019	1st
73	Georgetown University			Washington		D.C.	USA	us	O Street Northwest	20057		Georgetown				3700																					Georgetown University	Interdisciplinary Program in Neuroscience	31000	1.0	2019-2020	4th
74	Michigan State University			East Lansing	Ingham County	Michigan	USA	us	Farm Lane	48824																											Michigan State University 	Chemistry/PHD	25000	1.22	2018-2019	1st
75	Michigan State University			East Lansing	Ingham County	Michigan	USA	us	Farm Lane	48824																											Michigan State University 	Chemistry/PHD	25000	1.22	2018-2019	1st
76	UMN			St. Paul	Ramsey County	Minnesota	USA	us	North Brompton Street	55108																											University of Minnesota - Twin Cities 	Computer Science	18029	0.79	2018-2019	4th
77	Harvard University		Old Cambridge		Middlesex County	Massachusetts	USA	us	John F. Kennedy Street	02163									Cambridge																		Harvard University 	Organismic and Evolutionary Biology	39200	1.37	2019-2020	1st
78	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	Chemistry	30500	1.18	2018-2019	1st
79	Northeastern University		Roxbury Crossing	Boston	Suffolk County	Massachusetts	USA	us	Tremont Street	MA 02118		Roxbury																									Northeastern University 	Computer Science	33265	1.16	2018-2019	1st
80				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Psychology 	28000	1.27	2018-2019	5th
81	University of Georgia		Five Points	Athens-Clarke County Unified Government	Athens-Clarke County	Georgia	USA	us	East Campus Road	30602																											University of Georgia 	Integrated Life Sciences	24900	1.18	2019-2020	1st
82	Institute for Astronomy		Lower Mānoa	Honolulu	Honolulu County	Hawaii	United States of America (Middle Hawai'ian Islands territorial waters)	us	Woodlawn Drive	96813		Manoa				2680																					University of Hawaii - Manoa 	Business	22140	0.73	2018-2019	1st
83	University of Central Florida				Orange County	Florida	USA	us	Libra Drive	32816							University Park																				University of Central Florida 	Chemistry	17415	0.75	2019-2020	1st
84	Emory University		Emory Highlands		DeKalb County	Georgia	USA	us	Gambrell Drive Northeast	30322		Oakhurst											North Decatur														Emory University	English	43000	1.85	2019-2020	2nd
85	UC			Cincinnati	Hamilton County	Ohio	USA	us	West University Avenue	45219		The Heights																									University of Cincinnati 	Immunology 	30000	1.55	2019-2020	1st
86	New Jersey Institute of Technology		University Heights	Newark	Essex County	New Jersey	USA	us	Warren Street	07103																											New Jersey Institute of Technology	Computer Science	24000	0.89	2019-2020	1st
87	Cornell University				Ithaca Town	New York	USA	us	Forest Home Drive	14853										Forest Home																	Cornell University 	Biomedical and Biological Sciences	34170	1.41	2018-2019	1st
88	Pacifica Graduate Institute				Santa Barbara County	California	USA	us	Lambert Road	93013							Ortega																				Pacifica Graduate Institute	Psychology	24819	0.95	2015-2016	4th
89	Colorado State University		Woodwest	Fort Collins	Larimer County	Colorado	USA	us	West Lake Street	80526-2002																											Colorado State University 	Atmospheric Science	42000	1.87	2019-2020	1st
90	MU			Oxford	Butler County	Ohio	USA	us	East Vine Street	45056																											Miami University 	Clinical Psychology	18800	0.97	2019-2020	1st
91	The Ohio State University		Riverview	Columbus	Franklin County	Ohio	USA	us	W Lane Ave	43221																											Ohio State University 	Clinical Psychology	26316	1.31	2019-2020	1st
92	University of Oklahoma Max Westheimer Airport			Norman	Cleveland County	Oklahoma	USA	us	North Flood Avenue	73069																											University of Oklahoma 	School of Electrical and Computer Engineering	21600	1.07	2019-2020	1st
93			University City	Philadelphia	Philadelphia County	Pennsylvania	USA	us	South Street	19104						3260								Penn Museum													University of Pennsylvania	electrical and systems engineering	35000	1.45	2019-2020	1st
94	Harvard University		Old Cambridge		Middlesex County	Massachusetts	USA	us	John F. Kennedy Street	02163									Cambridge																		Harvard University 	Finance	95000	3.32	2018-2019	2nd
95	University of Michigan			Ann Arbor	Washtenaw County	Michigan	USA	us	South State Street	48109						500																					University of Michigan - Ann Arbor 	environmental health science	31000	1.34	2018-2019	3rd
96					Wayne County	Indiana	USA	us	West Cart Road	47374									Richmond						Indiana University East												Indiana University	Biology - Genome, Cell, and Developmental Biology	22500	1.04	2019-2020	1st
97	University of Utah		East Central	Salt Lake City	Salt Lake County	Utah	United States of America	us	Presidents Circle	84112		Central City				201																					University of Utah	Physics and Astronomy	21624	0.97	2018-2019	4th
98				Knoxville	Knox County	Tennessee	USA	us	Melrose Avenue	37916		Fort Sanders						University of Tennessee																			University of Tennessee - Knoxville	Public Health	16800	0.79	2018-2019	4th
99	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	Bioinformatics	38000	1.47	2018-2019	2nd
100	University of Florida		Diamond Village Apartments	City of Gainesville Municipal Boundaries	Alachua County	Florida	USA	us	Mowry Road	32611																											University of Florida 	Urban and Regional Planning	31000	1.36	2019-2020	1st
101	Wichita State University			Wichita	Sedgwick County	Kansas	USA	us	Perimeter Road	67260																											Wichita State University 	Mathematics	16300	0.81	2018-2019	1st
102	Cornell University				Ithaca Town	New York	USA	us	Forest Home Drive	14853										Forest Home																	Cornell University 	Food Science 	35200	1.45	2018-2019	3rd
103	Georgia Tech	Atlantic Drive Northwest	Bellwood	Atlanta	Fulton County	Georgia	USA	us		30318		Rockdale																									Georgia Institute of Technology 	Mechanical Engineering	23700	1.02	2018-2019	3rd
104	Virginia Polytechnic Institute and State University		Longview Estates		Montgomery County	Virginia	USA	us	Life Science Circle	24061									Blacksburg																		Virginia Tech	Biological Sciences	23900	1.13	2018-2019	3rd
105	North Carolina State University			Raleigh	Wake County	North Carolina	USA	us	I 440;US 1	27606		Westover																									North Carolina State University 	English/Technical Writing 	11000	0.48	2019-2020	1st
106	Northwestern University		Downtown	Evanston	Cook County	Illinois	USA	us	Haven Street	60201																											Northwestern University 	African American Studies	35850	1.48	2018-2019	2nd
107	Northwestern University		Downtown	Evanston	Cook County	Illinois	USA	us	Haven Street	60201																											Northwestern University 	African American Studies	2250	0.09	2018-2019	2nd
108	University of Wisconsin-Madison		Oakland Heights	Madison	Dane County	Wisconsin	USA	us		53726				Howard Temin Lakeshore Path																							University of Wisconsin - Madison 	Sociology	18800	0.82	2018-2019	2nd
109	University of North Carolina - Greensboro		Warnersville	Greensboro	Guilford County	North Carolina	USA	us	Forest Street	27412																											University of North Carolina - Greensboro 	Nursing 	18000	0.84	2018-2019	1st
110	John Felice Rome Center		Balduina	Roma	RM	LAZ	Italia	it	Via Massimi	00136		Municipio Roma XIV																									Loyola University Chicago 	IPBS	28800	1.19	2018-2019	1st
111	Thomas Jefferson University		Chinatown	Philadelphia	Philadelphia County	Pennsylvania	USA	us	South 10th Street	19107																											Thomas Jefferson University	Biological Sciences 	30172	1.25	2019-2020	1st
112	University of Chicago		Woodlawn	Chicago	Cook County	Illinois	USA	us	South Ellis Avenue	60637																											University of Chicago 	Psychology	29662	1.22	2019-2020	1st
113	LSU			Baton Rouge	East Baton Rouge Parish	Louisiana	USA	us	Gourrier Avenue	70803																											Louisiana State University - Baton Rouge	Chemistry	17400	0.8	2018-2019	3rd
114	Southern Methodist University			University Park	Dallas County	Texas	USA	us	Airline Road	75205						6425																					Southern Methodist University 	Clinical Psychology	18500	0.86	2019-2020	3rd
115					Wayne County	Indiana	USA	us	West Cart Road	47374									Richmond						Indiana University East												Indiana University	History and Philosophy of Science and Medicine	14427	0.67	2018-2019	5th
116			New Center	Detroit	Wayne County	Michigan	USA	us	Burroughs Street	48202											Wayne State University																Wayne State University	Psychiatry and Behavioral Neurosciences	28000	1.34	2018-2019	2nd
117				Upper Dublin Township	Montgomery County	Pennsylvania	United States of America	us	Meetinghouse Road	19002								Temple University																			Temple University 	Psychology	26100	1.08	2019-2020	1st
118	BU		Audubon Square	Boston	Suffolk County	Massachusetts	USA	us	Commonwealth Avenue	02215		Fenway																									Boston University 	Psychology (Brain, Behavior, and Cognition)	35010	1.22	2019-2020	1st
119	Virginia Commonwealth University			Richmond City		Virginia	USA	us	South Laurel Street	23220		Oregon Hill																									Virginia Commonwealth University 	Pharmacology	27000	1.09	2019-2020	1st
120	Virginia Polytechnic Institute and State University		Longview Estates		Montgomery County	Virginia	USA	us	Life Science Circle	24061									Blacksburg																		Virginia Tech	Electrical and Computer Engineering	23540	1.12	2018-2019	2nd
121	Institute for Astronomy		Lower Mānoa	Honolulu	Honolulu County	Hawaii	United States of America (Middle Hawai'ian Islands territorial waters)	us	Woodlawn Drive	96813		Manoa				2680																					University of Hawaii - Manoa 	Physics	20197	0.66	2018-2019	1st
122	Institute for Astronomy		Lower Mānoa	Honolulu	Honolulu County	Hawaii	United States of America (Middle Hawai'ian Islands territorial waters)	us	Woodlawn Drive	96813		Manoa				2680																					University of Hawaii - Manoa 	Physics	20193	0.66	2018-2019	1st
123	Institute for Astronomy		Lower Mānoa	Honolulu	Honolulu County	Hawaii	United States of America (Middle Hawai'ian Islands territorial waters)	us	Woodlawn Drive	96813		Manoa				2680																					University of Hawaii - Manoa 	Physics	18930	0.62	2018-2019	1st
124	University of Arkansas			Fayetteville	Washington County	Arkansas	USA	us	North Garland Avenue	72704																											University of Arkansas - Fayetteville	FOOD SCIENCE	1400	0.07	2018-2019	1st
125	Duke University	Union Circle	Trinity Heights	Durham	Durham County	North Carolina	USA	us																													Duke University 	BME	2150	0.1	2018-2019	1st
126	Duke University	Union Circle	Trinity Heights	Durham	Durham County	North Carolina	USA	us																													Duke University 	BME	1264	0.06	2018-2019	1st
127	University of Central Florida				Orange County	Florida	USA	us	Libra Drive	32816							University Park																				University of Central Florida 	Burnett School of Biomedical Sciences 	21000	0.91	2018-2019	1st
128	Southern Methodist University			University Park	Dallas County	Texas	USA	us	Airline Road	75205						6425																					Southern Methodist University 	English	31008	1.44	2018-2019	1st
129					Wayne County	Indiana	USA	us	West Cart Road	47374									Richmond						Indiana University East												Indiana University	Learning Sciences	16924	0.78	2019-2020	1st
130	University of Virginia			Charlottesville		Virginia	USA	us	Emmet Street North	22901																											University of Virginia 	Biomedical Engineering	32000	1.4	2019-2020	1st
131	Columbia University	College Walk		NYC	New York County	New York	USA	us		10027		Manhattan																									Columbia University 	Sociology	32972	1.11	2018-2019	1st
132				Knoxville	Knox County	Tennessee	USA	us	Melrose Avenue	37916		Fort Sanders						University of Tennessee																			University of Tennessee - Knoxville	Materials Science and Engineering	27000	1.27	2018-2019	4th
133	UCSF		Inner Sunset	SF	SF	California	USA	us	Parnassus Avenue	94117																											University of California - San Francisco 	Bms	38000	1.27	2018-2019	2nd
134	Auburn University			Auburn	Lee County	Alabama	USA	us	Lem Morrison Drive	36849																											Auburn University 	Mathematics	13393	0.62	2019-2020	1st
135	Stanford University				Santa Clara County	California	USA	us	Palm Drive	94305-6015							Stanford																				Stanford University 	Linguistics	42180	1.47	2019-2020	1st
136	University of Washington		Montlake	Seattle	King County	Washington	USA	us	Jefferson Road Northeast	98195-2350		University District																									University of Washington 	economics	21069	0.91	2018-2019	3rd
137	Auburn University			Auburn	Lee County	Alabama	USA	us	Lem Morrison Drive	36849																											Auburn University 	SERC	1195	0.06	2018-2019	2nd
138	North Carolina State University			Raleigh	Wake County	North Carolina	USA	us	I 440;US 1	27606		Westover																									North Carolina State University 	Psychology	18000	0.79	2019-2020	1st
139	Rochester Institute of Technology (RIT)				Monroe County	New York	USA	us	Lomb Memorial Drive	14623						1	Bailey		Henrietta Town																		Rochester Institute of Technology 	Microsystems Engineering	27500	1.29	2018-2019	2nd
140	Michigan State University			East Lansing	Ingham County	Michigan	USA	us	Farm Lane	48824																											Michigan State University 	Computer Science and Engineering	31000	1.51	2016-2017	6th and up
141	Duke University	Union Circle	Trinity Heights	Durham	Durham County	North Carolina	USA	us																													Duke University 	Biomedical Engineering 	31800	1.43	2019-2020	1st
142	University of Michigan			Ann Arbor	Washtenaw County	Michigan	USA	us	South State Street	48109						500																					University of Michigan - Ann Arbor 	Pharmacology	31482	1.36	2018-2019	2nd
143	Institute for Astronomy		Lower Mānoa	Honolulu	Honolulu County	Hawaii	United States of America (Middle Hawai'ian Islands territorial waters)	us	Woodlawn Drive	96813		Manoa				2680																					University of Hawaii - Manoa 	Physics	15700	0.52	2018-2019	1st
144	The Ohio State University		Riverview	Columbus	Franklin County	Ohio	USA	us	W Lane Ave	43221																											Ohio State University 	Psychology	26314	1.31	2019-2020	1st
145	Duke University	Union Circle	Trinity Heights	Durham	Durham County	North Carolina	USA	us																													Duke University 	MSTP	31647	1.42	2018-2019	1st
146	Duke University	Union Circle	Trinity Heights	Durham	Durham County	North Carolina	USA	us																													Duke University 	MSTP	31647	1.42	2018-2019	1st
147				Reno	Washoe County	Nevada	USA	us	Enterprise Road	89557											University of Nevada, Reno																University of Nevada - Reno 	Biology	25000	1.19	2018-2019	1st
148	USM		Sharon Acres	Hattiesburg	Forrest County	Mississippi	USA	us		39406	College Drive	Bonhomie				118																					University of Southern Mississippi 	creative writing	12000	0.56	2018-2019	1st
149	University of Southern Maine		Old Port	Portland	Cumberland County	Maine	USA	us	Bedford Street	04101																											University of Maine	Communications	34000	1.58	2019-2020	1st
150	Tufts University				Middlesex County	Massachusetts	USA	us	Upper Campus Road	02144-1399									Medford																		Tufts University 	Civil & Environmental Engineering	37400	1.34	2019-2020	1st
151				Upper Dublin Township	Montgomery County	Pennsylvania	United States of America	us	Meetinghouse Road	19002								Temple University																			Temple University 	Chemistry	26200	1.09	2018-2019	1st
152	Cornell University				Ithaca Town	New York	USA	us	Forest Home Drive	14853										Forest Home																	Cornell University 	Chemistry	35424	1.46	2018-2019	2nd
153				Upper Dublin Township	Montgomery County	Pennsylvania	United States of America	us	Meetinghouse Road	19002								Temple University																			Temple University 	mechanical engineering	25614	1.06	2018-2019	1st
154			Barrows	Oklahoma City	Oklahoma County	Oklahoma	USA	us																		University of Oklahoma Health Sciences Center											University of Oklahoma Health Sciences Center	GPiBS	26000	1.29	2019-2020	1st
155			Barrows	Oklahoma City	Oklahoma County	Oklahoma	USA	us																		University of Oklahoma Health Sciences Center											University of Oklahoma Health Sciences Center	Pharmaceutical Sciences	26000	1.29	2018-2019	4th
156	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	Economics	23700	1.07	2019-2020	1st
157	Southern Methodist University			University Park	Dallas County	Texas	USA	us	Airline Road	75205						6425																					Southern Methodist University 	History	20000	0.93	2019-2020	1st
158			The Hill	Boulder	Boulder County	Colorado	USA	us	Broadway	80802						1030								HEND													University of Colorado - Boulder 	Aerospace engineering sciences	30750	1.21	2018-2019	1st
159			East End	Rochester	Monroe County	New York	USA	us	University Avenue	14607						500								Memorial Art Gallery													University of Rochester 	The Institute of Optics	33980	1.59	2017-2018	5th
160	Columbia University	College Walk		NYC	New York County	New York	USA	us		10027		Manhattan																									Columbia University 	Teachers College	7500	0.25	2019-2020	1st
